year	avg_valence	num_songs
1990	0.5286800814513138	2701
1991	0.5202183210979905	3133
1992	0.5088689635036507	3425
1993	0.5144898868229594	3711
1994	0.5169748584092586	4061
1995	0.5027977763099947	4542
1996	0.5283620697074027	4648
1997	0.5162977136635786	5511
1998	0.5080143687064286	5164
1999	0.5061190127970755	6017
2000	0.4912254924415925	13098
2001	0.4792238616886505	13419
2002	0.48034633878279626	14558
2003	0.4758234287174287	15656
2004	0.471081900962513	15792
2005	0.48136429925298196	17938
2006	0.470600698641531	18035
2007	0.46361725369801743	17915
2008	0.46101756961174534	17849
2009	0.45861044075749974	17901
2010	0.4527093082825586	17724
2011	0.4488043978829035	18327
2012	0.4340067560321717	20515
2013	0.43759119316826656	20961
2014	0.4346238209879349	21641
2015	0.42076254855164263	21369
2016	0.4169968510803213	20642
2017	0.42608430745520953	25955
2018	0.4279515885650996	28894
2019	0.4314927694825121	29334
2020	0.4248817306530244	24823
2021	0.4304250523754825	14797
2022	0.45272411063182133	19705
